Date,Net Sales,Orders,Guests
02/08/2019,6901.18,180,237,
02/09/2019,6743.41,139,253,
02/10/2019,6324.11,141,249,
02/11/2019,2505.37,74,98,
02/12/2019,2239.02,78,102,
02/13/2019,4424.21,113,173,
02/14/2019,6317.2,137,193,
02/15/2019,5836.67,170,231,
02/16/2019,5930.29,128,235,
02/17/2019,5679.39,120,186,
02/18/2019,4259.21,109,173,
02/19/2019,3318.01,72,104,
02/20/2019,3866.37,88,137,
02/21/2019,4492.81,97,156,
02/22/2019,5922.99,141,224,
02/23/2019,6844.31,140,233,
02/24/2019,6674.93,139,254,
02/25/2019,2622.95,69,94,
02/26/2019,3202.38,87,123,
02/27/2019,5544.19,116,191,
02/28/2019,2939.03,99,131,
03/01/2019,7111.63,121,197,
03/02/2019,6588.23,131,226,
03/03/2019,6658.57,146,252,
03/04/2019,7989.92,91,138,
03/05/2019,2326.3,73,97,
03/06/2019,3070.01,86,131,
03/07/2019,5794.89,145,215,
03/08/2019,7585.71,175,252,
03/09/2019,10401.04,212,351,
03/10/2019,4454.64,90,170,
03/11/2019,3316.47,97,128,
03/12/2019,4221.06,90,138,
03/13/2019,4562,107,168,
03/14/2019,3966.22,103,157,
03/15/2019,6474.32,169,243,
03/16/2019,9089.45,183,336,
03/17/2019,10825.73,192,343,
03/18/2019,2914.96,88,122,
03/19/2019,2749.64,85,107,
03/20/2019,4832.49,121,187,
03/21/2019,3540.77,100,136,
03/22/2019,7599.02,179,262,
03/23/2019,7116.79,151,264,
03/24/2019,8844.97,187,325,
03/25/2019,3406.91,90,139,
03/26/2019,4058.32,99,157,
03/27/2019,5151.56,118,193,
03/28/2019,4298.78,115,158,
03/29/2019,7393.98,173,270,
03/30/2019,10433.33,215,393,
03/31/2019,7186.79,150,262,
04/01/2019,2967.33,79,127,
04/02/2019,2996.15,95,127,
04/03/2019,5123.77,115,184,
04/04/2019,3934.1,114,163,
04/05/2019,6080.83,166,246,
04/06/2019,13465.05,328,530,
04/07/2019,8040.57,178,301,
04/08/2019,5223.25,139,229,
04/09/2019,4104.26,106,167,
04/10/2019,5117.78,123,181,
04/11/2019,4379.52,114,160,
04/12/2019,7498.97,181,278,
04/13/2019,13149.18,261,474,
04/14/2019,7852.39,158,295,
04/15/2019,4020.05,84,131,
04/16/2019,4864.17,129,192,
04/17/2019,5695.01,135,222,
04/18/2019,4672,126,187,
04/19/2019,9098.68,189,332,
04/20/2019,9528.64,279,397,
04/21/2019,7111.34,145,290,
04/22/2019,3179.2,87,124,
04/23/2019,5637.65,121,196,
04/24/2019,7055.64,168,277,
04/25/2019,5242.11,112,176,
04/26/2019,4813.83,134,188,
04/27/2019,9060.01,191,357,
04/28/2019,7604.65,153,264,
04/29/2019,3704.82,100,141,
04/30/2019,3734.44,112,156,
05/01/2019,5897.68,130,206,
05/02/2019,4345.48,111,161,
05/03/2019,7727.88,163,299,
05/04/2019,11193.72,214,415,
05/05/2019,7590.44,139,267,
05/06/2019,2841.98,93,128,
05/07/2019,4070.07,119,181,
05/08/2019,6213.83,148,234,
05/09/2019,4724.16,116,154,
05/10/2019,7715.76,171,278,
05/11/2019,9762.68,184,352,
05/12/2019,8482.9,136,282,
05/13/2019,3036.42,77,102,
05/14/2019,3253.87,97,138,
05/15/2019,6429.39,143,236,
05/16/2019,4850.61,121,185,
05/17/2019,10051.78,185,316,
05/18/2019,10007.39,198,402,
05/19/2019,9888.96,178,373,
05/20/2019,5174.75,120,211,
05/21/2019,4251.04,105,161,
05/22/2019,6030.58,140,242,
05/23/2019,4945.02,109,164,
05/24/2019,8669.04,207,319,
05/25/2019,10076.12,310,449,
05/26/2019,6198.72,120,235,
05/27/2019,8303.14,162,308,
05/28/2019,3680.72,103,139,
